Дані для розрахунку оберненої геодезичної задачі;;;;;;;
Джерело 1;;;;Джерело 2;;;
Час;Довгота;Широта;Висота;Час;Довгота;Широта;Висота
14:14:40;31,324741;51,555006;449,057231;14:14:40;31,3247939;51,5551039;439,8299866
14:14:44;31,325794;51,5550906;442,414297;14:14:44;31,3257905;51,5550986;437,1700134
14:14:48;31,326649;51,555096;449,040415;14:14:48;31,3266483;51,5550988;434,9100037
14:14:52;31,327701;51,55509;438,887882;14:14:52;31,327759;51,5550928;438,0100098
14:14:56;31,328413;51,55501;455,782721;14:14:56;31,3284897;51,5550869;440,6700134
14:15:00;31,329446;51,555094;462,225883;14:15:00;31,3294753;51,5550839;441,5499878
14:15:04;31,330337;51,555101;450,950814;14:15:04;31,3303368;51,5551069;442,230011
14:15:08;31,331209;51,555046;461,198257;14:15:08;31,3313153;51,5550951;443,1099854
14:15:12;31,332269;51,555265;447,072354;14:15:12;31,3322608;51,5552498;441,0799866
14:15:16;31,332729;51,555829;461,285792;14:15:16;31,3327995;51,5558252;441,8399963
14:15:20;31,33321;51,556578;456,029833;14:15:20;31,3332169;51,5565833;438,6700134
14:15:24;31,333677;51,557248;433,344163;14:15:24;31,3336766;51,557222;436,7799988
14:15:28;31,334268;51,557914;447,977642;14:15:28;31,3342696;51,5579134;437,3900146
14:15:32;31,334796;51,558394;458,54631;14:15:32;31,3347964;51,558509;441,1700134
14:15:36;31,335378;51,559141;447,738099;14:15:36;31,3353774;51,559159;441,8999939
14:15:40;31,335978;51,559752;454,678839;14:15:40;31,33597;51,5597902;441,2099915
14:15:44;31,336418;51,560303;454,601463;14:15:44;31,3364276;51,5603922;439,9700012
14:15:48;31,335982;51,561256;465,495874;14:15:48;31,3359747;51,5612679;435,5799866
14:15:52;31,334733;51,561577;457,147895;14:15:52;31,3347325;51,5615259;437,7900085
14:15:58;31,332574;51,561571;475,275776;14:15:58;31,3325705;51,561515;442,6900024
14:16:02;31,331335;51,561899;446,367646;14:16:02;31,3313267;51,5618106;442,0599976
14:16:04;31,330655;51,561908;456,905973;14:16:04;31,3306554;51,5620108;441,3200073
14:16:06;31,329958;51,562154;459,635667;14:16:06;31,3299822;51,5622176;440,1300049
14:16:10;31,328818;51,562671;451,288728;14:16:10;31,3288087;51,5625934;439,8999939
14:16:13;31,327776;51,562616;449,480476;14:16:13;31,3278056;51,5629163;442,0899963
14:16:18;31,327216;51,563824;461,232792;14:16:18;31,3272142;51,5637821;439,769989
14:16:22;31,327948;51,564139;458,331442;14:16:22;31,3279671;51,5642372;441,9899902
14:16:26;31,328898;51,564438;450,255226;14:16:26;31,328821;51,5645118;441,4299927
14:16:32;31,329757;51,565202;460,325269;14:16:32;31,3297931;51,5652853;440,9400024
14:16:36;31,330326;51,565891;456,590729;14:16:36;31,3303068;51,5659457;439,7000122
14:16:40;31,330771;51,566412;454,151957;14:16:40;31,3307757;51,5665515;436,5899963
14:16:44;31,331287;51,567168;461,896381;14:16:44;31,3312873;51,5672016;438,5599976
14:16:48;31,331746;51,567755;457,234596;14:16:48;31,3317381;51,5677459;437,2900085
14:16:52;31,332298;51,568268;455,080036;14:16:52;31,3322977;51,5683607;437,9200134
14:16:56;31,332833;51,56906;462,020816;14:16:56;31,3328373;51,5690029;439,2099915
14:17:00;31,333337;51,569563;457,260532;14:17:00;31,3333109;51,5695735;439,3699951
